"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.449631447,      -2.410643843,      -3.157483815,      0.0177702262,      -1.606444534,       2.979400588
          1,           0,           9,             0.003,      -6.258176761,      -2.713244759,      -3.771860541,     -0.8327332166,      -1.653335999,       2.597933132
          2,           0,           9,             0.006,       -6.32263047,      -2.897775826,      -3.900681298,      -1.392312653,      -1.791280341,       2.263614882
          3,           0,           9,             0.009,        -6.1799422,       -3.03643779,      -3.931801667,      -1.528271618,      -1.939352796,       2.059811025
          4,           0,           9,             0.012,      -6.087064533,      -3.146402374,      -3.950274794,      -1.551771655,      -2.073653913,       1.917036259
          5,           0,           9,             0.015,      -6.023785889,      -3.234989609,      -3.961528535,      -1.556976222,      -2.189770865,       1.793977065
          6,           0,           9,             0.018,      -5.978138067,      -3.307001402,      -3.966881926,       -1.55611864,      -2.290030766,       1.684307923
          7,           0,           9,             0.021,      -5.943756591,      -3.366013405,      -3.968109465,      -1.554302398,      -2.377876514,       1.587761312
          8,           0,           9,             0.024,       -5.91686285,      -3.414859754,      -3.967158681,      -1.553396267,      -2.456138856,       1.503170026
          9,           0,           9,             0.027,      -5.895063883,      -3.455843944,      -3.965731703,      -1.553686496,      -2.526857015,       1.428502659
